Position,Cost,Asset
1030.0000,58032.7000,65126.9000
1030.0000,58032.7000,64179.3000
1040.0000,58665.3000,65790.4000
1040.0000,58665.3000,66612.0000
1040.0000,58665.3000,66705.6000
1040.0000,58665.3000,67017.6000
1040.0000,58665.3000,67038.4000
1050.0000,59311.4000,67840.5000
1050.0000,59311.4000,68344.5000
1050.0000,59311.4000,68764.5000
1050.0000,59311.4000,68544.0000
1050.0000,59311.4000,69961.5000
1060.0000,59980.3000,70903.4000
1060.0000,59980.3000,71168.4000
1060.0000,59980.3000,70977.6000
1060.0000,59980.3000,71221.4000
1060.0000,59980.3000,71401.6000
1070.0000,60655.5000,72246.4000
1070.0000,60655.5000,72471.1000
1070.0000,60655.5000,72695.8000
1070.0000,60655.5000,73038.2000
1070.0000,60655.5000,73273.6000
1080.0000,61342.1000,74152.8000
1080.0000,61342.1000,74142.0000
1080.0000,61342.1000,74358.0000
1080.0000,61342.1000,72964.8000
1080.0000,61342.1000,72954.0000
1080.0000,61342.1000,74260.8000
1080.0000,61342.1000,73591.2000
1080.0000,61342.1000,73558.8000
1080.0000,61342.1000,73645.2000
1090.0000,62020.4000,73934.7000
1090.0000,62020.4000,74207.2000
1090.0000,62020.4000,73422.4000
1090.0000,62020.4000,72812.0000
1090.0000,62020.4000,73367.9000
1100.0000,62701.2000,74888.0000
1100.0000,62701.2000,74030.0000
1100.0000,62701.2000,74459.0000
1100.0000,62701.2000,73073.0000
1100.0000,62701.2000,74096.0000
1110.0000,63375.7000,74869.5000
1110.0000,63375.7000,75102.6000
1110.0000,63375.7000,75635.4000
1110.0000,63375.7000,73914.9000
1110.0000,63375.7000,72971.4000
1120.0000,64024.4000,72654.4000
1120.0000,64024.4000,73236.8000
1120.0000,64024.4000,73684.8000
1120.0000,64024.4000,74110.4000
1120.0000,64024.4000,73808.0000
1130.0000,64690.8000,75303.2000
1130.0000,64690.8000,75224.1000
1130.0000,64690.8000,75020.7000
1130.0000,64690.8000,76026.4000
1140.0000,65368.4000,77246.4000
1140.0000,65368.4000,77280.6000
1140.0000,65368.4000,77314.8000
1140.0000,65368.4000,78671.4000
1140.0000,65368.4000,79435.2000
1150.0000,66068.5000,80511.5000
1150.0000,66068.5000,80672.5000
1150.0000,66068.5000,80741.5000
1150.0000,66068.5000,80695.5000
1150.0000,66068.5000,79810.0000
1160.0000,66763.9000,80666.4000
1160.0000,66763.9000,80747.6000
1160.0000,66763.9000,80794.0000
1160.0000,66763.9000,80643.2000
1160.0000,66763.9000,80446.0000
1170.0000,67462.5000,81736.2000
1170.0000,67462.5000,82040.4000
1170.0000,67462.5000,82344.6000
1170.0000,67462.5000,82906.2000
1170.0000,67462.5000,83187.0000
1180.0000,68177.0000,84311.0000
1180.0000,68177.0000,84299.2000
1180.0000,68177.0000,83662.0000
1180.0000,68177.0000,84216.6000
1180.0000,68177.0000,84027.8000
1190.0000,68884.7000,84216.3000
1190.0000,68884.7000,84847.0000
1190.0000,68884.7000,85180.2000
1190.0000,68884.7000,83942.6000
1190.0000,68884.7000,83466.6000
1200.0000,69585.8000,84132.0000
1200.0000,69585.8000,84132.0000
1200.0000,69585.8000,84084.0000
1200.0000,69585.8000,84420.0000
1200.0000,69585.8000,85488.0000
1210.0000,70298.4000,86224.6000
1210.0000,70298.4000,85184.0000
1210.0000,70298.4000,84337.0000
1210.0000,70298.4000,84748.4000
1210.0000,70298.4000,85450.2000
1210.0000,70298.4000,85510.7000
1210.0000,70298.4000,85583.3000
1210.0000,70298.4000,86260.9000
1210.0000,70298.4000,86648.1000
1220.0000,71016.0000,87547.2000
1220.0000,71016.0000,88694.0000
1220.0000,71016.0000,88035.2000
1220.0000,71016.0000,88474.4000
1220.0000,71016.0000,88486.6000
1230.0000,71747.1000,89925.3000
1230.0000,71747.1000,89125.8000
1230.0000,71747.1000,89667.0000
1230.0000,71747.1000,90884.7000
1230.0000,71747.1000,91032.3000
1240.0000,72486.0000,91623.6000
1240.0000,72486.0000,91251.6000
1240.0000,72486.0000,91127.6000
1240.0000,72486.0000,91115.2000
1240.0000,72486.0000,90916.8000
1250.0000,73214.9000,91112.5000
1250.0000,73214.9000,91862.5000
1250.0000,73214.9000,92150.0000
1250.0000,73214.9000,92637.5000
1250.0000,73214.9000,91662.5000
1260.0000,73948.0000,92370.6000
1260.0000,73948.0000,92421.0000
1260.0000,73948.0000,90846.0000
1260.0000,73948.0000,91324.8000
1260.0000,73948.0000,92030.4000
1270.0000,74681.5000,93154.5000
1270.0000,74681.5000,94322.9000
1270.0000,74681.5000,94462.6000
1270.0000,74681.5000,94665.8000
1270.0000,74681.5000,96520.0000
1280.0000,75448.5000,98176.0000
1280.0000,75448.5000,98547.2000
1280.0000,75448.5000,97830.4000
1280.0000,75448.5000,97779.2000
1280.0000,75448.5000,99059.2000
1290.0000,76220.9000,99639.6000
1290.0000,76220.9000,99987.9000
1290.0000,76220.9000,100168.5000
1290.0000,76220.9000,99459.0000
1290.0000,76220.9000,99820.2000
1300.0000,76994.6000,100581.0000
1300.0000,76994.6000,100048.0000
1300.0000,76994.6000,100958.0000
1300.0000,76994.6000,100529.0000
1300.0000,76994.6000,98995.0000
1310.0000,77762.4000,100581.8000
1310.0000,77762.4000,100267.4000
1310.0000,77762.4000,100070.9000
1310.0000,77762.4000,101682.2000
1310.0000,77762.4000,102284.8000
1320.0000,78544.3000,103210.8000
1320.0000,78544.3000,102168.0000
1320.0000,78544.3000,102207.6000
1320.0000,78544.3000,102128.4000
1320.0000,78544.3000,102894.0000
1330.0000,79329.5000,104431.6000
1330.0000,79329.5000,104338.5000
1330.0000,79329.5000,105070.0000
1330.0000,79329.5000,106001.0000
1340.0000,80129.1000,107146.4000
1340.0000,80129.1000,106623.8000
1340.0000,80129.1000,106168.2000
1340.0000,80129.1000,106798.0000
1340.0000,80129.1000,107481.4000
1350.0000,80933.5000,108594.0000
1350.0000,80933.5000,108418.5000
1350.0000,80933.5000,108499.5000
1350.0000,80933.5000,107163.0000
1350.0000,80933.5000,107352.0000
1360.0000,81727.8000,108024.8000
1360.0000,81727.8000,108092.8000
1360.0000,81727.8000,108011.2000
1360.0000,81727.8000,108949.6000
1360.0000,81727.8000,109031.2000
1370.0000,82542.8000,111655.0000
1370.0000,82542.8000,111929.0000
1370.0000,82542.8000,112161.9000
1370.0000,82542.8000,112477.0000
1380.0000,83359.5000,112704.6000
1380.0000,83359.5000,112911.6000
1380.0000,83359.5000,112911.6000
1380.0000,83359.5000,112552.8000
1390.0000,84169.3000,112562.2000
1390.0000,84169.3000,112645.6000
1390.0000,84169.3000,113187.7000
1390.0000,84169.3000,113827.1000
1390.0000,84169.3000,113312.8000
1400.0000,84984.0000,114058.0000
1400.0000,84984.0000,112910.0000
1400.0000,84984.0000,115178.0000
1400.0000,84984.0000,115528.0000
1400.0000,84984.0000,115276.0000
1400.0000,84984.0000,115710.0000
1400.0000,84984.0000,116158.0000
1400.0000,84984.0000,115794.0000
1400.0000,84984.0000,115192.0000
1410.0000,85794.6000,114294.6000
1410.0000,85794.6000,112659.0000
1410.0000,85794.6000,112151.4000
1410.0000,85794.6000,113279.4000
1410.0000,85794.6000,112715.4000
1420.0000,86599.3000,114267.4000
1420.0000,86599.3000,112421.4000
1420.0000,86599.3000,112307.8000
1420.0000,86599.3000,112719.6000
1420.0000,86599.3000,114452.0000
1430.0000,87414.9000,116630.8000
1430.0000,87414.9000,117588.9000
1430.0000,87414.9000,118904.5000
1430.0000,87414.9000,118032.2000
1430.0000,87414.9000,119733.9000
1430.0000,87414.9000,120220.1000
1430.0000,87414.9000,120377.4000
1430.0000,87414.9000,119862.6000
1430.0000,87414.9000,120720.6000
1440.0000,88257.3000,121305.6000
1440.0000,88257.3000,121838.4000
1440.0000,88257.3000,121852.8000
1440.0000,88257.3000,121435.2000
1440.0000,88257.3000,122184.0000
1450.0000,89097.1000,121771.0000
1450.0000,89097.1000,123351.5000
1450.0000,89097.1000,123772.0000
1450.0000,89097.1000,124192.5000
1450.0000,89097.1000,124192.5000
1460.0000,89946.2000,123968.6000
1460.0000,89946.2000,124435.8000
1460.0000,89946.2000,123048.8000
