Position,Cost,Asset
1256.9667,67000.0000,73746.2358
1256.9667,67000.0000,74085.6168
1256.9667,67000.0000,72866.3592
1256.9667,67000.0000,71986.4825
1256.9667,67000.0000,72074.4701
1274.2289,68000.0000,73816.0805
1274.2289,68000.0000,74236.5760
1274.2289,68000.0000,74007.2148
1274.2289,68000.0000,75676.4547
1274.2289,68000.0000,75956.7850
1291.5599,69000.0000,74523.0078
1291.5599,69000.0000,75207.5346
1291.5599,69000.0000,73903.0591
1291.5599,69000.0000,75052.5474
1291.5599,69000.0000,75517.5090
1308.3469,70000.0000,77938.2249
1308.3469,70000.0000,77794.3067
1308.3469,70000.0000,78212.9778
1308.3469,70000.0000,76839.2135
1308.3469,70000.0000,78396.1463
1324.9032,71000.0000,80024.1528
1324.9032,71000.0000,80554.1141
1324.9032,71000.0000,80673.3554
1324.9032,71000.0000,80832.3438
1324.9032,71000.0000,80805.8457
1341.2377,72000.0000,82110.5734
1341.2377,72000.0000,82647.0685
1341.2377,72000.0000,82311.7591
1341.2377,72000.0000,82888.4913
1341.2377,72000.0000,83746.8835
1357.2300,73000.0000,84867.5949
1357.2300,73000.0000,85288.3362
1357.2300,73000.0000,84541.8597
1357.2300,73000.0000,84691.1550
1357.2300,73000.0000,84175.4075
1373.1485,74000.0000,86261.1916
1373.1485,74000.0000,85959.0989
1373.1485,74000.0000,86027.7563
1373.1485,74000.0000,85657.0062
1373.1485,74000.0000,85780.5896
1373.1485,74000.0000,85560.8858
1373.1485,74000.0000,85602.0803
1373.1485,74000.0000,86082.6823
1373.1485,74000.0000,87249.8585
1388.9140,75000.0000,88098.8122
1388.9140,75000.0000,87209.9073
1388.9140,75000.0000,87376.5769
1388.9140,75000.0000,87390.4661
1388.9140,75000.0000,88807.1583
1404.4612,76000.0000,90334.9456
1404.4612,76000.0000,90096.1872
1404.4612,76000.0000,90391.1241
1404.4612,76000.0000,90124.2764
1404.4612,76000.0000,90924.8193
1420.1082,77000.0000,90759.1165
1420.1082,77000.0000,91213.5511
1420.1082,77000.0000,89580.4267
1420.1082,77000.0000,89182.7964
1420.1082,77000.0000,89892.8505
1435.9085,78000.0000,90878.6494
1435.9085,78000.0000,90706.3404
1435.9085,78000.0000,90821.2131
1435.9085,78000.0000,91295.0629
1435.9085,78000.0000,91941.2217
1451.7815,79000.0000,91462.2359
1451.7815,79000.0000,90910.5590
1451.7815,79000.0000,89676.5447
1451.7815,79000.0000,89908.8297
1451.7815,79000.0000,88950.6539
1468.0470,80000.0000,90255.5280
