Position,Cost,Asset
1735.4646,96306.8497,109959.0355
1735.4646,96306.8497,110479.6749
1751.2275,97306.8497,111097.8727
1751.2275,97306.8497,111237.9709
1751.2275,97306.8497,111308.0200
1751.2275,97306.8497,111413.0937
1751.2275,97306.8497,111465.6305
1767.1384,98306.8497,111064.6485
1767.1384,98306.8497,112177.9457
1767.1384,98306.8497,112407.6737
1767.1384,98306.8497,111382.7334
1767.1384,98306.8497,111594.7900
1782.8345,99306.8497,113584.3875
1782.8345,99306.8497,113227.8206
1782.8345,99306.8497,112639.4852
1782.8345,99306.8497,113566.5592
1798.4840,100306.8497,114923.1261
1798.4840,100306.8497,114617.3838
1798.4840,100306.8497,115031.0351
1798.4840,100306.8497,113862.0205
1798.4840,100306.8497,112153.4607
1814.3923,101306.8497,114052.7027
1814.3923,101306.8497,114905.4671
1814.3923,101306.8497,115776.3755
1814.3923,101306.8497,117336.7529
1814.3923,101306.8497,117282.3211
1829.8938,102306.8497,118046.4501
1829.8938,102306.8497,116820.4212
1829.8938,102306.8497,116674.0297
1829.8938,102306.8497,115704.1860
1829.8938,102306.8497,114020.6837
1845.7016,103306.8497,116759.0828
1845.7016,103306.8497,118217.1871
1845.7016,103306.8497,118383.3002
1845.7016,103306.8497,118937.0107
1845.7016,103306.8497,118973.9247
1861.1791,104306.8497,120250.7800
1861.1791,104306.8497,121144.1459
1861.1791,104306.8497,121888.6176
1861.1791,104306.8497,121497.7700
1861.1791,104306.8497,124010.3617
1876.1290,105306.8497,125494.2683
1876.1290,105306.8497,125963.3005
1876.1290,105306.8497,125625.5973
1876.1290,105306.8497,126057.1070
1876.1290,105306.8497,126376.0489
1890.9394,106306.8497,127676.2295
1890.9394,106306.8497,128073.3268
1890.9394,106306.8497,128470.4241
1890.9394,106306.8497,129075.5247
1890.9394,106306.8497,129491.5314
1905.5039,107306.8497,130831.9005
1905.5039,107306.8497,130812.8454
1905.5039,107306.8497,131193.9462
1905.5039,107306.8497,128735.8461
1905.5039,107306.8497,128716.7911
1905.5039,107306.8497,131022.4509
1905.5039,107306.8497,129841.0384
1905.5039,107306.8497,129783.8733
1905.5039,107306.8497,129936.3136
1920.2467,108306.8497,130250.3322
1920.2467,108306.8497,130730.3939
1920.2467,108306.8497,129347.8163
1920.2467,108306.8497,128272.4781
1920.2467,108306.8497,129251.8039
1934.9353,109306.8497,131730.3939
1934.9353,109306.8497,130221.1444
1934.9353,109306.8497,130975.7691
1934.9353,109306.8497,128537.7507
1934.9353,109306.8497,130337.2405
1949.7611,110306.8497,131511.3846
1949.7611,110306.8497,131920.8345
1949.7611,110306.8497,132856.7198
1949.7611,110306.8497,129834.5901
1949.7611,110306.8497,128177.2932
1965.1765,111306.8497,127481.0011
1965.1765,111306.8497,128502.8929
1965.1765,111306.8497,129288.9635
1965.1765,111306.8497,130035.7305
1965.1765,111306.8497,129505.1329
1980.1825,112306.8497,131959.3635
1980.1825,112306.8497,131820.7507
1980.1825,112306.8497,131464.3179
1980.1825,112306.8497,133226.6803
1994.9405,113306.8497,135177.1679
1994.9405,113306.8497,135237.0162
1994.9405,113306.8497,135296.8644
1994.9405,113306.8497,137670.8436
1994.9405,113306.8497,139007.4537
2009.2242,114306.8497,140665.7841
2009.2242,114306.8497,140947.0754
2009.2242,114306.8497,141067.6289
2009.2242,114306.8497,140987.2599
2009.2242,114306.8497,139440.1573
2023.6044,115306.8497,140721.4487
2023.6044,115306.8497,140863.1010
2023.6044,115306.8497,140944.0452
2023.6044,115306.8497,140680.9766
2023.6044,115306.8497,140336.9639
2037.9187,116306.8497,142369.0021
2037.9187,116306.8497,142898.8610
2037.9187,116306.8497,143428.7198
2037.9187,116306.8497,144406.9208
2037.9187,116306.8497,144896.0213
2051.9145,117306.8497,146609.2929
2051.9145,117306.8497,146588.7737
2051.9145,117306.8497,145480.7399
2051.9145,117306.8497,146445.1397
2051.9145,117306.8497,146116.8334
2066.0448,118306.8497,146213.9910
2066.0448,118306.8497,147308.9947
2066.0448,118306.8497,147887.4873
2066.0448,118306.8497,145738.8007
2066.0448,118306.8497,144912.3828
2080.3081,119306.8497,145850.4014
2080.3081,119306.8497,145850.4014
2080.3081,119306.8497,145767.1891
2080.3081,119306.8497,146349.6754
2080.3081,119306.8497,148201.1496
2094.3412,120306.8497,149242.7557
2094.3412,120306.8497,147441.6223
2094.3412,120306.8497,145975.5834
2094.3412,120306.8497,146687.6594
2094.3412,120306.8497,147902.3774
2094.3412,120306.8497,148007.0944
2094.3412,120306.8497,148132.7549
2094.3412,120306.8497,149305.5860
2094.3412,120306.8497,149975.7752
2108.2766,121306.8497,151289.9264
2108.2766,121306.8497,153271.7063
2108.2766,121306.8497,152133.2370
2108.2766,121306.8497,152892.2165
2108.2766,121306.8497,152913.2993
2121.9546,122306.8497,155136.0997
2121.9546,122306.8497,153756.8292
2121.9546,122306.8497,154690.4893
2121.9546,122306.8497,156791.2243
2121.9546,122306.8497,157045.8588
2135.4882,123306.8497,157791.2243
2135.4882,123306.8497,157150.5778
2135.4882,123306.8497,156937.0290
2135.4882,123306.8497,156915.6741
2135.4882,123306.8497,156573.9960
2149.2075,124306.8497,156655.7361
2149.2075,124306.8497,157945.2606
2149.2075,124306.8497,158439.5783
2149.2075,124306.8497,159277.7693
2149.2075,124306.8497,157601.3874
2162.8482,125306.8497,158558.4032
2162.8482,125306.8497,158644.9172
2162.8482,125306.8497,155941.3569
2162.8482,125306.8497,156763.2392
2162.8482,125306.8497,157974.4342
2176.4815,126306.8497,159644.9172
2176.4815,126306.8497,161647.2801
2176.4815,126306.8497,161886.6931
2176.4815,126306.8497,162234.9301
2176.4815,126306.8497,165412.5931
2189.5193,127306.8497,167936.1302
2189.5193,127306.8497,168571.0907
2189.5193,127306.8497,167344.9599
2189.5193,127306.8497,167257.3792
2189.5193,127306.8497,169446.8985
2202.4660,128306.8497,170118.4706
2202.4660,128306.8497,170713.1364
2202.4660,128306.8497,171021.4816
2202.4660,128306.8497,169810.1253
2202.4660,128306.8497,170426.8158
2215.3909,129306.8497,171404.7911
2215.3909,129306.8497,170496.4809
2215.3909,129306.8497,172047.2545
2215.3909,129306.8497,171316.1755
2215.3909,129306.8497,168702.0143
